Constellation,Mythic Title,Full Story,Star Name,RA,Dec,Mag,Audio_File
AQUILA,The Eagle of Thunder,"Aquila is the great eagle who served Zeus. In many accounts, it was Aquila who carried Zeus’s thunderbolts, a symbol of both destructive power and divine authority. Some stories identify Aquila as the eagle who seized Ganymede, a Trojan prince of great beauty, and brought him to Olympus to become cupbearer to the gods. As a constellation, Aquila stretches along the Milky Way, wings outstretched. It represents not only power, but also duty and the vantage point of one who sees from great heights. Its presence in the sky suggests a perspective that rises above immediate concerns, looking instead at the broader sweep of events.",Altair,19:50:47,+08:52:05.9,0.77,Altair
LYRA,The Instrument of Orpheus,"Lyra is associated with Orpheus, the legendary musician whose songs could calm storms, tame wild beasts, and move even the stones. His lyre was a gift from the gods and a conduit for grief and love alike. When his wife Eurydice died, Orpheus descended into the underworld and played so beautifully that Hades agreed to release her—on the condition that Orpheus not look back at her until they reached the surface. In a moment of doubt, he turned too soon, and Eurydice was lost forever. After Orpheus’s death, Zeus placed his lyre in the sky so that its music would never entirely fade. Lyra symbolizes the enduring power of art, the pain of loss, and the fragile hope that beauty can outlive suffering.",Vega,18:36:56,+38:47:01.3,0.03,Vega
CASSIOPEIA,The Queen Who Sat Too High,"Cassiopeia was the queen of Ethiopia and the wife of King Cepheus. She was renowned for her beauty but infamous for her vanity. Her fatal mistake was boasting that she and her daughter Andromeda were more beautiful than the Nereids. In retaliation, Poseidon unleashed the monster Cetus upon their land. The oracle’s decree that Andromeda must be sacrificed stemmed directly from Cassiopeia’s pride. Although Andromeda was ultimately saved by Perseus, Cassiopeia did not escape punishment. She was placed in the sky seated on a throne, but her position is not one of pure honor. As the Earth turns, she appears to rotate, sometimes upright, sometimes upside down. Her constellation is a visual lesson in how arrogance can invert one’s fortunes and legacy.",Schedar,00:40:30,+56:32:14.4,2.24,Schedar
VIRGO,The Last Goddess to Leave the Earth,"Virgo is often linked to Astraea, the goddess of innocence and justice, or to Demeter, the goddess of the harvest. In the Age of Gold, when humanity lived in harmony and truth, Astraea walked among mortals, carrying the scales that weighed right and wrong. But as the world fell into corruption and war, she withdrew, unable to bear the decline. According to myth, Astraea was the last of the immortals to leave the Earth. She ascended to the heavens, becoming Virgo, while her scales became Libra. Virgo embodies what has been lost: purity, fairness, and a deep connection to the cycles of life and land. Yet her presence in the night sky also suggests that these ideals are not entirely gone, only waiting to be rediscovered.",Spica,13:25:12,-11:09:40,0.98,Spica
SAGITTARIUS,The Archer of Knowledge,"Sagittarius is commonly associated with Chiron, the most civilized of centaurs. While other centaurs were wild and unruly, Chiron was wise, kind, and skilled in healing, music, and prophecy. He tutored many heroes, including Achilles and Asclepius. An accident involving Hercules and a poisoned arrow left Chiron with an incurable wound. Being immortal, he could not die, yet he could not escape the pain. To end his suffering, Chiron willingly surrendered his immortality. In recognition of his sacrifice and virtue, Zeus placed him in the sky as Sagittarius. The constellation’s archer, with bow drawn, symbolizes the mind aiming at distant truths and the journey of learning that always reaches beyond the horizon.",Kaus Australis,18:24:11,-34:23:05,1.79,Kaus Australis
CAPRICORNUS,The Sea-Goat Between Worlds,"Capricornus depicts a creature with the front half of a goat and the tail of a fish. One of the most common myths ties it to the god Pan. When the monster Typhon attacked the gods, Pan fled, diving into a river to escape. The water transformed the lower half of his body into that of a fish, while his upper body remained goat-like. This hybrid form was later placed among the stars as Capricornus. The constellation embodies liminality—the state of being between states or worlds. It suggests the ability to adapt in crisis, to exist between land and sea, instinct and reason, and to navigate transforming identities without losing oneself.",Deneb Algedi,21:47:02,-16:07:38,2.85,Deneb Algedi
ARIES,The Ram of Golden Rescue,"Aries recalls the golden ram sent by the gods to save Phrixus and Helle, children in mortal danger due to palace intrigues and their stepmother’s hatred. The ram swept them onto its back and flew over land and sea. As they crossed the strait now known as the Hellespont, Helle fell and was lost to the waters. Phrixus survived and reached Colchis, where he sacrificed the ram in gratitude. The ram’s Golden Fleece was then hung in a sacred grove, later becoming the object of Jason’s quest. Aries, shining in the sky, represents salvation, loyal intervention, and the beginning of journeys that reshape destinies.",Hamal,02:07:10,+23:27:48.2,2.0,Hamal
PISCES,The Fishes of Shared Escape,"Pisces is rooted in the myth of Typhon, the monstrous giant who threatened the gods themselves. During his rampage, Aphrodite and her son Eros sought refuge. To escape, they transformed into fish and leapt into the Euphrates River. To avoid being separated in the current, they tied themselves together with a cord. The gods honored this act of mutual care by placing the two fish in the sky. Pisces is thus a constellation of emotional bonds, intuitive survival, and the instinct to hold on to one another in times of fear and uncertainty.",Alrescha,02:01:54,+03:22:13.9,3.82,Alrescha
CANCER,The Loyal but Overmatched Challenger,"Cancer represents the crab that entered the battle between Hercules and the Hydra. Sent by Hera, who despised Hercules, the crab scuttled into the fray and bit at the hero’s heel, hoping to throw him off balance. Hercules crushed the crab beneath his foot, and the attempt failed. Nonetheless, Hera rewarded the crab’s effort and loyalty by placing it in the sky as a constellation. Cancer is modest in brightness compared to many constellations, mirroring the humility of its story. It stands for protection, quiet defiance, and the courage of those who intervene even when they cannot win.",Acubens,08:29:27,+10:13:58.0,4.26,Acubens
URSA MAJOR,The Bear of Motherhood and Memory,"Ursa Major holds one of the most poignant myths in the night sky. Callisto was a follower of Artemis, bound to a vow of chastity. When Zeus fell in love with her, she became pregnant, drawing the wrath of Hera. In different versions, Hera or Artemis transforms Callisto into a bear, cursed to wander the forests in isolation. Years later, Callisto’s son, Arcas, grows into a hunter. Unaware that the bear he is about to kill is his own mother, he raises his spear. To prevent tragedy, Zeus intervenes, lifting both mother and son into the sky as Ursa Major and Ursa Minor. Ursa Major, with its familiar Big Dipper asterism, is more than a landmark; it is a story of maternal love, transformation, and the preservation of relationships beyond tragedy.",Dubhe,11:03:44,+61:45:03.0,1.79,Dubhe
AURIGA,The Guardian on the Chariot,"Auriga’s identity has several interpretations, but a common one associates him with Erichthonius of Athens, a clever ruler said to have invented the four-horse chariot. His innovation impressed Zeus, who honored him with a place in the heavens. Another tradition views Auriga as a humble goat herder carrying a young goat in his arms, protecting it from storms and hardship. In either case, Auriga is marked by care and responsibility—whether for chariots that move civilizations forward or for creatures that cannot defend themselves. The constellation evokes guidance, resilience, and the strength of those who quietly lead others to safety.",Capella,05:16:41,+45:59:52.8,0.08,Capella
CANIS MAJOR,The Great Dog Beside the Hunter,"Canis Major follows Orion across the sky, representing his great hunting dog. Within it shines Sirius, the brightest star in the night sky. Sirius has held deep significance in many cultures: in ancient Egypt, its heliacal rising marked the annual flooding of the Nile and the beginning of the new year. To Greek eyes, it was a scorching star associated with the “dog days” of summer. In mythic terms, Canis Major is a companion—faithful, enduring, and watchful. The constellation honors not only heroic figures, but also those who stand beside them, sharing the path and the dangers along the way.",Sirius,06:45:09,-16:42:58,-1.46,Sirius
BOOTES,The Herdsman Who Guides the Stars,"Bootes is often described as the herdsman or ploughman driving the Great Bear around the pole. Some connect him with Arcas, son of Callisto, now positioned near his transformed mother in the heavens. Others see him as an innovator in agriculture, credited with bringing the plough to humanity. Regardless of the version, Bootes represents guardianship and steady work. He is not a warrior or trickster but a figure of perseverance and nurture, watching over the celestial “herd” and ensuring that the cycles of nature continue. His constellation reminds us that much of what sustains life comes from patient, often unseen labor.",Arcturus,14:15:40,+19:10:56.7,-0.05,Arcturus
DRACO,The Dragon Coiled Around the Pole,"Draco winds around the northern sky, evoking a dragon encircling a hidden treasure. In one of its best-known myths, Draco represents Ladon, the many-headed dragon set by Hera to guard the golden apples in the Garden of the Hesperides. Hercules, on his eleventh labor, was tasked with stealing these apples. He eventually defeated Ladon, either by force or through cunning alliances. Hera, unwilling to let such unwavering loyalty go unnoticed, placed the dragon’s form among the stars. Draco’s coiling shape suggests endurance, guardianship, and the mysterious forces that protect what is precious, even when they stand in opposition to human ambition.",Thuban,14:04:22,+64:22:33.9,3.67,Thuban
CRUX,The Cross of the Southern Sky,"Crux, the Southern Cross, is small in size but large in cultural and symbolic weight. In antiquity, it was visible from Mediterranean latitudes but gradually sank below the horizon over centuries due to precession. For many cultures in the Southern Hemisphere, it became a central point of orientation. Indigenous Australian traditions interpret its stars in diverse ways: a footprint, a tree, or a gathering place of ancestral beings. European explorers later used Crux for navigation, drawing a direct line from it to the south celestial pole. For Christian cultures, it was adopted as a symbol of the cross. Unlike many Greek constellations, Crux is not tied to a single mythic character but to the act of finding direction—at sea, on land, and in life. It stands for guidance, resilience, and the human desire to locate oneself within the vastness of the cosmos.",Acrux,12:26:36,-63:05:57,0.77,Acrux
